19 November 2013
Frequency [Hz],V_Gain [dB],H_Gain [dB],V_AF [dB/m],H_AF [dB/m]
414000000.0,-1.0215005298540509,0,23.622892443296742,0
442500000.0,4.9749097052735411,0,18.204740886428056,0
471000000.0,5.7222995603522309,0,17.999503673250405,0
499500000.0,6.2287711183510996,0,18.003323823913636,0
528000000.0,6.8162893620328999,0,17.897774179668055,0
556500000.0,6.9729448588324319,0,18.197743605606824,0
585000000.0,6.7790701787065109,0,18.825432233961813,0
613500000.0,6.6781452424791921,0,19.339531189805982,0
642000000.0,6.685691677221353,0,19.726393975180425,0
670500000.0,7.3982670662958618,0,19.391093668481204,0
699000000.0,7.6634184308445956,0,19.487510175093746,0
727500000.0,7.4673949363354577,0,20.030650107848153,0
756000000.0,6.9667885515106578,0,20.865032449538184,0
784500000.0,6.1006002935820547,0,22.052643755901762,0
813000000.0,6.2327279863896434,0,22.230468016516433,0
841500000.0,6.4638900515526725,0,22.298577445708894,0
870000000.0,6.8627766647111264,0,22.188993478685958,0
898500000.0,7.0365427832425738,0,22.295203936681993,0
927000000.0,7.0813030582117058,0,22.521676715702949,0
955500000.0,7.510265204927812,0,22.355733713917534,0
984000000.0,7.7692782336558768,0,22.352008825995668,0
1012500000.0,7.3262210257027993,0,23.043064703056039,0
1041000000.0,6.9913173362599759,0,23.61908234497546,0
1069500000.0,6.8749232759890084,0,23.970077593186645,0
1098000000.0,7.1303664734609153,0,23.943065419845261,0
1126500000.0,7.4251972160300816,0,23.870811796191624,0
1155000000.0,7.4287194341486558,0,24.084305341439318,0
1183500000.0,7.4611568133127779,0,24.263593523013967,0
1212000000.0,7.5408268891237125,0,24.390610598506349,0
1240500000.0,7.3475304739504423,0,24.785789989238832,0
1269000000.0,6.9641126872840431,0,25.366504845634768,0
1297500000.0,7.1701963082845834,0,25.353336113150039,0
1326000000.0,7.268253069441462,0,25.444002502958337,0
1354500000.0,7.0418035287576171,0,25.855161749650833,0
