21 November 2013
Frequency [MHz],Loss [dB]
1.0,0.045655610063941227
12.43,0.1953173319375528
23.850000000000001,0.35490625705867118
35.280000000000001,0.3535229643746971
46.710000000000001,0.37858682458135029
58.140000000000001,0.4285730421569815
69.560000000000002,0.47961503876187211
80.989999999999995,0.53128923227702574
92.420000000000002,0.53504017355930511
103.84,0.58933932929082899
115.27,0.63026347658013482
126.7,0.6523145332289545
138.13,0.67672441619272494
149.55000000000001,0.70007717113750045
160.97999999999999,0.73522050632899338
172.41,0.76839703607692145
183.83000000000001,0.76225859783761341
195.25999999999999,0.82094493905773802
206.69,0.82788780970846176
218.12,0.86286066628119074
229.53999999999999,0.83339630966338318
240.97,0.87486518765265497
252.40000000000001,0.93451571805369638
263.81999999999999,0.93476345650886283
275.25,0.97378144301056613
286.68000000000001,0.95569350159690014
298.11000000000001,0.97652813332842303
309.52999999999997,1.0284472203803749
320.95999999999998,1.042942917460052
332.38999999999999,1.0814183104503681
343.81,1.085850419824147
355.24000000000001,1.0951389413068491
366.67000000000002,1.164632534120664
378.10000000000002,1.155008191489783
389.51999999999998,1.168762714694549
400.94999999999999,1.2014528130429929
412.38,1.206337132724868
423.80000000000001,1.2860992884734781
435.23000000000002,1.278887971530331
446.66000000000003,1.258370865501379
458.08999999999997,1.314217102595594
469.50999999999999,1.3215932321174999
480.94,1.3707283400894921
492.37,1.3318417162931111
503.79000000000002,1.434297897271186
515.22000000000003,1.446698812498955
526.64999999999998,1.4622154348330549
538.08000000000004,1.4349733057754499
549.5,1.4550671405596869
560.92999999999995,1.457712533158819
572.36000000000001,1.4797157184332259
583.77999999999997,1.5201103886856151
595.21000000000004,1.5592241460063541
606.63999999999999,1.547673667360661
618.07000000000005,1.5122751600170621
629.49000000000001,1.527143980819945
640.91999999999996,1.5333796368709709
652.35000000000002,1.585919083280291
663.76999999999998,1.5347494961572821
675.20000000000005,1.60951117519946
686.63,1.603912719823618
698.05999999999995,1.6253189298295909
709.48000000000002,1.6028570723468261
720.90999999999997,1.6301495625280491
732.34000000000003,1.6601192201088339
743.75999999999999,1.6450286488471739
755.19000000000005,1.7128863492325821
766.62,1.7250009570512881
778.04999999999995,1.756272891519296
789.47000000000003,1.7551609689010199
800.89999999999998,1.789323130668947
812.33000000000004,1.7949235711352221
823.75,1.842399429095525
835.17999999999995,1.913246062117623
846.61000000000001,1.8649940102220499
858.03999999999996,1.844125088459506
869.46000000000004,1.8676470119334789
880.88999999999999,1.8852337389742659
892.32000000000005,1.9246311455512719
903.74000000000001,1.9744543287285421
915.16999999999996,1.957741202841045
926.60000000000002,1.966021576659734
938.02999999999997,1.9531091270912579
949.45000000000005,1.9765174402207599
960.88,2.000539430818431
972.30999999999995,2.060220681228921
983.73000000000002,2.0404615118488132
995.15999999999997,2.0680543859286371
1006.59,2.0718650027479382
1018.02,2.0898942113104879
1029.4400000000001,2.0855873302974031
1040.8699999999999,2.1224283019354409
1052.3,2.1120618935217381
1063.72,2.1225207838809359
1075.1500000000001,2.181374316288955
1086.5799999999999,2.165000251668602
1098.01,2.1750973159372782
1109.4300000000001,2.2140481872737938
1120.8599999999999,2.2053683560323001
1132.29,2.2225603282959359
1143.71,2.22804826883864
1155.1400000000001,2.235783723293562
1166.5699999999999,2.303040298989512
1178.0,2.2854410099236881
1189.4200000000001,2.3072424195346461
1200.8499999999999,2.284838923521531
1212.28,2.4019211663231892
1223.7,2.394273259668465
1235.1300000000001,2.4005368967488239
1246.5599999999999,2.7630181923435408
1257.99,2.4318158552925579
1269.4100000000001,2.4835330311758739
1280.8399999999999,2.4377507197460369
1292.27,2.4208929907588992
1303.6900000000001,2.4420249326307908
1315.1199999999999,2.442849624454897
1326.55,2.4286223957201409
1337.98,2.4495657167778728
1349.4000000000001,2.5263853427488292
1360.8299999999999,2.5831679294061258
1372.26,2.5277599280684919
1383.6800000000001,2.8338524235610318
1395.1099999999999,2.561721908439424
1406.54,2.5397794946271279
1417.97,2.5953401164886349
1429.3900000000001,2.5713750508974802
1440.8199999999999,2.576833878314706
1452.25,2.61214753448112
1463.6700000000001,2.6552372089844392
1475.0999999999999,2.6466080734907882
1486.53,2.6824310300104748
1497.96,2.642719608039874
1509.3800000000001,2.687694780981182
1520.8099999999999,2.6657374027867382
1532.24,2.7328931518012332
1543.6600000000001,2.6931019178680931
1555.0899999999999,2.717972616707915
1566.52,2.7225681496833589
1577.95,2.7599296173019101
1589.3699999999999,2.7199490981974752
1600.8,2.727839968624882
1612.23,2.7839803054738881
1623.6500000000001,2.7923936262316289
1635.0799999999999,2.791822675231745
1646.51,2.8589575129938631
1657.9400000000001,2.8153268547635029
1669.3599999999999,2.9564248737361618
1680.79,2.859575689893326
1692.22,2.8587249444082699
1703.6400000000001,2.8452579476259632
1715.0699999999999,2.8918660540754919
1726.5,2.905534555841836
1737.9300000000001,2.8829117506481139
1749.3499999999999,2.9108942107745341
1760.78,2.9466008041036069
1772.21,2.9577646496488912
1783.6300000000001,2.9844709124640389
1795.0599999999999,3.0201151641782351
1806.49,3.0420290532493959
1817.9200000000001,3.0776208621960479
1829.3399999999999,3.037002934441678
1840.77,3.0330773536453179
1852.2,3.0450926737658008
1863.6199999999999,3.0427399931899268
1875.05,3.0607807728939118
1886.48,3.063339884577446
1897.9100000000001,3.084050985838946
1909.3299999999999,3.1145540462342369
1920.76,3.136051289955891
1932.1900000000001,3.1335190794422032
1943.6099999999999,3.1890084462814259
1955.04,3.1938109327335669
1966.47,3.1781837567828339
1977.9000000000001,3.2172891550923399
1989.3199999999999,3.2191962994773178
2000.75,3.1660227890276271
2012.1800000000001,3.216527723819155
2023.5999999999999,3.2343098823409302
2035.03,3.2511259628448572
2046.46,3.230142873088012
2057.8899999999999,3.3063923229838088
2069.3099999999999,3.2829424754332939
2080.7399999999998,3.3072819724729632
2092.1700000000001,3.3057501042704831
2103.5900000000001,3.3189634891879529
2115.02,3.348635090707003
2126.4499999999998,3.3270047685831559
2137.8800000000001,3.319413431859576
2149.3000000000002,3.3415278437003599
2160.73,3.348493974048623
2172.1599999999999,3.3621257547443508
2183.5799999999999,3.392116718115409
2195.0100000000002,3.4199115671710691
2206.4400000000001,3.4047170975303871
2217.8699999999999,3.457450566982176
2229.29,3.5248824566210639
2240.7199999999998,3.447454773736653
2252.1500000000001,3.5242398037481042
2263.5700000000002,3.4954729757826
2275.0,3.5297047958941929
2286.4299999999998,3.503023635978507
2297.8600000000001,3.5367295232572422
2309.2800000000002,3.51577980540783
2320.71,3.536393710993774
2332.1399999999999,3.5803984310236938
2343.5599999999999,3.668564169854204
2354.9899999999998,3.6369285995470242
2366.4200000000001,3.7650902002625211
2377.8499999999999,3.6337127224216399
2389.27,3.6723623998929682
2400.6999999999998,3.65610452827667
2412.1300000000001,3.6670564279236899
2423.5500000000002,3.6729525789298352
2434.98,3.6500572741701758
2446.4099999999999,3.6637217432214442
2457.8400000000001,3.7064132781285508
2469.2600000000002,3.7031557840949629
2480.6900000000001,3.7197023608777471
2492.1199999999999,3.71968880904687
2503.54,3.8228140153838419
2514.9699999999998,3.775014100652208
2526.4000000000001,3.8272695578923712
2537.8299999999999,3.8219707159349801
2549.25,3.790671789929819
2560.6799999999998,3.8103253625136739
2572.1100000000001,3.8037518461830349
2583.5300000000002,3.81899398760654
2594.96,3.8369413590294279
2606.3899999999999,3.871513318387958
2617.8200000000002,3.9101605878053989
2629.2399999999998,3.9062891572759701
2640.6700000000001,3.9712263824690028
2652.0999999999999,3.9287328673853579
2663.52,3.9310754870617148
2674.9499999999998,3.9000530772386459
2686.3800000000001,3.8997942965498091
2697.8099999999999,3.9235325659135181
2709.23,3.9357725536956809
2720.6599999999999,3.936145394163781
2732.0900000000001,3.9589825971788919
2743.5100000000002,3.965429186244259
2754.9400000000001,3.9491888643764201
2766.3699999999999,4.0409858602930457
2777.8000000000002,4.0567568871990254
2789.2199999999998,4.085675855548665
2800.6500000000001,4.0749442899536232
2812.0799999999999,4.0863627007891523
2823.5,4.0661827945209668
2834.9299999999998,4.0830938988646244
2846.3600000000001,4.0944701318007954
2857.79,4.1262200433756808
2869.21,4.1134831312096596
2880.6399999999999,4.1694193266494262
2892.0700000000002,4.178260709204392
2903.4899999999998,4.1950397755632629
2914.9200000000001,4.2299318949345972
2926.3499999999999,4.2437124642229964
2937.7800000000002,4.2084791721902324
2949.1999999999998,4.2591220464384119
2960.6300000000001,4.2269022114320673
2972.0599999999999,4.2080239078028763
2983.48,4.2385767656082578
2994.9099999999999,4.2439678738104529
3006.3400000000001,4.2801581006763207
3017.77,4.3026210860305474
3029.1900000000001,4.2783660100303278
3040.6199999999999,4.3341730665485434
3052.0500000000002,4.3197574368528748
3063.4699999999998,4.3910906635210933
3074.9000000000001,4.4140680723896564
3086.3299999999999,4.3524896401833457
3097.7600000000002,4.5533246721503007
3109.1799999999998,4.4210836929722559
3120.6100000000001,4.3840532824404193
3132.04,4.4337800146579323
3143.46,4.4698747613491498
