01 November 2013
Frequency [Hz],Loss [dB]
30000000.0,0.41819518049350324
32000000.0,0.43181396604636757
34000000.0,0.44490474249029771
36000000.0,0.45855122142334359
38000000.0,0.47046709810894438
40000000.0,0.48274747153770159
42000000.0,0.49288632051652403
44000000.0,0.50456030287606346
46000000.0,0.51718685988300195
48000000.0,0.52821135460028612
50000000.0,0.53891155190774453
52000000.0,0.55061322947133196
54000000.0,0.56179530876915651
56000000.0,0.57161030299768545
58000000.0,0.58068940055214635
60000000.0,0.59005191721159878
62000000.0,0.60043279277089079
64000000.0,0.61071700552267716
66000000.0,0.62123416630441763
68000000.0,0.62949814629587086
70000000.0,0.63963263033756534
72000000.0,0.64917841083074346
74000000.0,0.65983537249194635
76000000.0,0.66904038104287666
78000000.0,0.67791245400739042
80000000.0,0.68611103442985422
82000000.0,0.69620426609792641
84000000.0,0.70593380867116851
86000000.0,0.71571994248474546
88000000.0,0.72502246314398033
90000000.0,0.73204899477509366
92000000.0,0.73949682901253466
94000000.0,0.7483494481423808
96000000.0,0.75663880333526057
98000000.0,0.76629823382502793
100000000.0,0.77468469363463854
102000000.0,0.78300893420874274
104000000.0,0.79129438207995284
106000000.0,0.79926781907473177
108000000.0,0.80698898417269027
110000000.0,0.81431920182459572
112000000.0,0.82190934340895128
114000000.0,0.8296993761972522
116000000.0,0.83842300964058636
118000000.0,0.84645813542015524
120000000.0,0.8545330722664084
122000000.0,0.86066373940092955
124000000.0,0.8681067964469007
126000000.0,0.87713076278278446
128000000.0,0.8841435758958226
130000000.0,0.89156007283496774
132000000.0,0.89753843431551794
134000000.0,0.9051299583275505
136000000.0,0.91303071012199566
138000000.0,0.92058745876564529
140000000.0,0.92700300647050926
142000000.0,0.93275821711348095
144000000.0,0.94151287856064758
146000000.0,0.94851134653624813
148000000.0,0.95702597393172928
150000000.0,0.96215603299676111
152000000.0,0.96896223994439423
154000000.0,0.97512888325846347
156000000.0,0.98395033138416521
158000000.0,0.98965651117884856
160000000.0,0.99574650493967276
162000000.0,1.0032075621288055
164000000.0,1.0116440699842675
166000000.0,1.0184458068588662
168000000.0,1.0251673249494888
170000000.0,1.0306212521152978
172000000.0,1.036575832936131
174000000.0,1.0425410417953356
176000000.0,1.0503407636406263
178000000.0,1.0570825113404252
180000000.0,1.0626443336846656
182000000.0,1.0675189254455411
184000000.0,1.0753892990820755
186000000.0,1.081378706600473
188000000.0,1.0889316338898611
190000000.0,1.0935153328652807
