01 November 2013
Frequency [Hz],Loss [dB]
30000000.0,0.53786259368003475
32000000.0,0.55489150627287864
34000000.0,0.57014880912145938
36000000.0,0.58739098330829376
38000000.0,0.60114685450643468
40000000.0,0.61607982191221633
42000000.0,0.62761764766841499
44000000.0,0.64183882431061667
46000000.0,0.65628335183461417
48000000.0,0.66956619668042461
50000000.0,0.68315474085070038
52000000.0,0.6970100430641315
54000000.0,0.7101122443073915
56000000.0,0.72225868503272717
58000000.0,0.733557025928258
60000000.0,0.74462823866886851
62000000.0,0.75654455483949068
64000000.0,0.76866929244794546
66000000.0,0.78139297412975728
68000000.0,0.79095437827123294
70000000.0,0.80338130590647072
72000000.0,0.81526128580501256
74000000.0,0.82886305583823905
76000000.0,0.83933373415233581
78000000.0,0.85050783699828181
80000000.0,0.85992185678913446
82000000.0,0.87201593339920003
84000000.0,0.88316315678157808
86000000.0,0.89506391562617482
88000000.0,0.90719315627394659
90000000.0,0.91561461635836305
92000000.0,0.92496870865980862
94000000.0,0.93592027958550417
96000000.0,0.94484302953210175
98000000.0,0.95678093859374813
100000000.0,0.96718214698308569
102000000.0,0.97741788091720916
104000000.0,0.9869504104756549
106000000.0,0.99701909935588084
108000000.0,1.0058098660937147
110000000.0,1.0156118189989232
112000000.0,1.0255223047553135
114000000.0,1.0339107562404859
116000000.0,1.0445098598971134
118000000.0,1.0536294255192931
120000000.0,1.0637783881596157
122000000.0,1.0712374933997515
124000000.0,1.0809718621715945
126000000.0,1.0910191895913548
128000000.0,1.0993394336880247
130000000.0,1.1079106761061503
132000000.0,1.114365140934175
134000000.0,1.1243194142920914
136000000.0,1.1329971279871736
138000000.0,1.1418774209053748
140000000.0,1.1507472516015933
142000000.0,1.1578065918589147
144000000.0,1.1695609156938072
146000000.0,1.1767722393623972
148000000.0,1.1877798747847514
150000000.0,1.1938009228906665
152000000.0,1.202816207574134
154000000.0,1.2105270356187015
156000000.0,1.2210142581446022
158000000.0,1.227487355780736
160000000.0,1.2355242786340148
162000000.0,1.2436884866841196
164000000.0,1.2523066180080877
166000000.0,1.2611445351072648
168000000.0,1.2684435051876888
170000000.0,1.2752313339085379
172000000.0,1.2823302451437426
174000000.0,1.2904398370450416
176000000.0,1.298879263545895
178000000.0,1.3061558006037604
180000000.0,1.3135260177110775
182000000.0,1.3183078460258977
184000000.0,1.3298614964961819
186000000.0,1.335651134058379
188000000.0,1.3446321580769784
190000000.0,1.3493285106641895
192000000.0,1.3579937091349243
194000000.0,1.3627149677835249
196000000.0,1.3741828155466482
198000000.0,1.3826116008096614
200000000.0,1.3900648447181598
202000000.0,1.3955397599561414
204000000.0,1.4029835599182439
206000000.0,1.4137687159576529
208000000.0,1.4207593389008863
210000000.0,1.4246825387494719
212000000.0,1.433049036531417
214000000.0,1.4385116306368211
216000000.0,1.4464539350250194
218000000.0,1.452843728662786
220000000.0,1.4603819485464635
222000000.0,1.4652258579759496
224000000.0,1.4719916080559374
226000000.0,1.476608152667404
228000000.0,1.4843724115807704
230000000.0,1.4909660219113003
232000000.0,1.49757755711004
234000000.0,1.5047795965156945
236000000.0,1.5109735831214386
238000000.0,1.5194888657720655
240000000.0,1.5235514882888384
242000000.0,1.5323776096546022
244000000.0,1.5363427142092585
246000000.0,1.5469261221476756
248000000.0,1.555095628356328
250000000.0,1.560636692045581
252000000.0,1.5657357318399854
254000000.0,1.5734112580249735
256000000.0,1.5830192242828882
258000000.0,1.5882484640831025
260000000.0,1.5939701244353319
262000000.0,1.6017910255990511
264000000.0,1.609639548825081
266000000.0,1.6145708359288267
268000000.0,1.6196047488754208
270000000.0,1.6248983585814674
272000000.0,1.631673386841074
274000000.0,1.635062194334302
276000000.0,1.6422228176452907
278000000.0,1.6471751535654322
280000000.0,1.6535919646987784
282000000.0,1.6574857777092091
284000000.0,1.6624350732111242
286000000.0,1.6687603806345925
288000000.0,1.6770404837504935
290000000.0,1.6838251889703844
292000000.0,1.6872245563547026
294000000.0,1.6953520494199306
296000000.0,1.7012839001109725
298000000.0,1.7082669190510766
300000000.0,1.7151644153011327
302000000.0,1.7191195718831616
304000000.0,1.7253237255409717
306000000.0,1.7315353519503645
308000000.0,1.7353269349941791
310000000.0,1.7431755485221343
312000000.0,1.7481713898950915
314000000.0,1.755168982104534
316000000.0,1.7615977417789084
318000000.0,1.7690261353230672
320000000.0,1.7760063740711896
322000000.0,1.7800644158430869
324000000.0,1.7858159889460081
326000000.0,1.7944374904621583
328000000.0,1.8015849177716972
330000000.0,1.8058685939062384
332000000.0,1.811262716840681
334000000.0,1.8176467682577959
336000000.0,1.825756671727591
338000000.0,1.8345619072649342
340000000.0,1.8401237606666201
342000000.0,1.8434103779589266
344000000.0,1.84809090818842
346000000.0,1.8540527042446295
