21 November 2013
Frequency [Hz],Loss [dB]
1000000.0,0.050206880948245734
12427142.85714286,0.58624491910902687
23854285.714285709,0.63164750453748397
35281428.571428567,0.68939981269337036
46708571.428571433,0.81416329690592359
58135714.285714284,0.90162089862793948
69562857.142857134,0.98989520602286585
80990000.0,1.0494928416103735
92417142.857142851,1.1025964931244441
103844285.7142857,1.1688469059880768
115271428.5714286,1.2157734607399164
126698571.4285714,1.2710863445614593
138125714.2857143,1.3208752174392904
149552857.1428571,1.35820877453333
160980000.0,1.4087002970302169
172407142.85714281,1.4533836440105674
183834285.7142857,1.4999487920036481
195261428.5714286,1.5433942473093483
206688571.4285714,1.5931990405617724
218115714.2857143,1.6358556320791988
229542857.1428571,1.6835242894902891
240970000.0,1.7200289187572824
252397142.85714281,1.7548722039302285
263824285.7142857,1.7852697745234523
275251428.57142848,1.8222508886236879
286678571.4285714,1.8700790508793483
298105714.28571433,1.9208128889063207
309532857.14285707,1.9557026507088515
320960000.0,2.0024785556171145
332387142.85714281,2.0379755208568406
343814285.71428567,2.0744938840654044
355241428.57142848,2.1207728251274038
366668571.4285714,2.1786590333147546
378095714.28571433,2.2319716147627284
389522857.14285707,2.2840434715015179
400950000.0,2.3180191784308612
412377142.85714281,2.3301642114647905
423804285.71428567,2.3799235342207332
435231428.57142848,2.4315761088624095
446658571.4285714,2.4560779780049442
458085714.28571433,2.4855390461020095
469512857.14285707,2.5283881104566865
480939999.99999988,2.5614746472446357
492367142.85714281,2.5960233338639171
503794285.71428567,2.6296112527350579
515221428.57142848,2.6685030905897009
526648571.4285714,2.7001572176025777
538075714.28571427,2.7312469065912475
549502857.14285707,2.7570020514195965
560930000.0,2.758821821757846
572357142.85714281,2.7557276296761954
583784285.71428573,2.7573593614858951
595211428.57142854,2.7501172473141358
606638571.42857134,2.7641948656284416
618065714.28571427,2.7806158315565663
629492857.14285707,2.7887809044083181
640920000.0,2.7440608825190349
652347142.85714281,2.7195273078623416
663774285.71428561,2.7821558575554888
675201428.57142854,2.8454817961828867
686628571.42857134,2.8966796535979311
698055714.28571427,2.9494601539421126
709482857.14285707,2.9927791386162288
720910000.0,3.030006927240172
732337142.85714281,3.061100391373111
743764285.71428561,3.0596505952349706
755191428.57142854,3.0881308591742536
766618571.42857134,3.1372992408160134
778045714.28571427,3.2166617765452963
789472857.14285707,3.291441471919589
800900000.0,3.3233761510669813
812327142.85714281,3.3528762795530467
823754285.71428561,3.3754362164932701
835181428.57142854,3.3883504497499559
846608571.42857134,3.4200775001713346
858035714.28571427,3.415252469405365
869462857.14285707,3.4029088266996426
880889999.99999988,3.4166125805021004
892317142.85714281,3.4332288263006192
903744285.71428561,3.4739462063043565
915171428.57142854,3.515188230951428
926598571.42857134,3.5595896697813401
938025714.28571427,3.5993137806720497
949452857.14285707,3.6362736360677408
960879999.99999988,3.6838137381898917
972307142.85714281,3.7190782196858709
983734285.71428561,3.7501252511768013
995161428.57142854,3.7747089996117951
1006588571.428571,3.8025241338791402
1018015714.285714,3.8331058743264115
1029442857.142857,3.8694905616920043
1040870000.0,3.8898566751988231
1052297142.857143,3.907194654986299
1063724285.714286,3.9469717142992056
1075151428.571429,3.9805359155795341
1086578571.4285719,4.006061405672865
1098005714.2857139,4.0057195646899402
1109432857.1428571,4.006049159365606
1120860000.0,4.0337038252454409
1132287142.8571429,4.0614941208268931
