17 Nov 2014,
Frequency [MHz],Loss [dB]
2343.56,7.1853534433
2354.99,7.1896494833
2366.42,7.3091317591
2377.85,7.1719187222
2389.27,7.2475534809
2400.7,7.2559120544
2412.13,7.2537363787
2423.55,7.2669987752
2434.98,7.2828117288
2446.41,7.3060641548
2457.84,7.3389515712
2469.26,7.3555192881
2480.69,7.4155026229
2492.12,7.4242682674
2503.54,7.5129067356
2514.97,7.4943201534
2526.4,7.5797504231
2537.83,7.5507108402
2549.25,7.512998357
2560.68,7.573576767
2572.11,7.5907990055
2583.53,7.5874535901
2594.96,7.6160708936
2606.39,7.6973754338
2617.82,7.7619890348
2629.24,7.7277959149
2640.67,7.8120024919
2652.1,7.8156967327
2663.52,7.8221733287
2674.95,7.7670841677
2686.38,7.8016773083
2697.81,7.8533668055
2709.23,7.8570631326
2720.66,7.8505804475
2732.09,7.9187138737
2743.51,8.0136979863
2754.94,7.9173234379
2766.37,8.0255805221
2777.8,8.0996709955
2789.22,8.1236009025
2800.65,8.0818914292
2812.08,8.1432010096
2823.5,8.1672447399
2834.93,8.1534225925
2846.36,8.1553346536
2857.79,8.2498971984
2869.21,8.2632751977
2880.64,8.2802808056
2892.07,8.3007649338
2903.49,8.3851592209
2914.92,8.4219557938
2926.35,8.3960726708
2937.78,8.3988277383
2949.2,8.5035212073
2960.63,8.4555743762
2972.06,8.4084722487
2983.48,8.4994827367
2994.91,8.5468709361
3006.34,8.5392723321
3017.77,8.5593099108
3029.19,8.6020886589
3040.62,8.6780719726
3052.05,8.6154583501
3063.47,8.7156229001
3074.9,8.8299535624
3086.33,8.7328696106
3097.76,8.8922626066
3109.18,8.8142445393
3120.61,8.8317690111
3132.04,8.8324983226
3143.46,8.8646229447
3154.89,9.0009316069
3166.32,9.0206771961
3177.75,9.0392817644
3189.17,9.0114495814
3200.6,9.1329282878
3212.03,9.1130670652
3223.45,9.0815535793
3234.88,9.153023764
3246.31,9.2141725755
3257.74,9.1484138178
3269.16,9.1370607407
3280.59,9.1981623087
3292.02,9.3111889152
3303.44,9.2113592215
3314.87,9.2777145464
3326.3,9.373868719
3337.73,9.4254014835
3349.15,9.352310307
3360.58,9.388229829
3372.01,9.3990803837
3383.43,9.3392014703
3394.86,9.3400372683
3406.29,9.4230170658
3417.72,9.4674590159
3429.14,9.4496741461
3440.57,9.465467188
3452,9.5986797551
3463.42,9.6155514241
3474.85,9.5426950213
3486.28,9.6229952351
3497.71,9.6682759524
3509.13,9.6704733859
3520.56,9.6308986002
3531.99,9.6758261775
3543.41,9.7336681471
3554.84,9.712064613
3566.27,9.7592253428
3577.7,9.8381903238
3589.12,9.9046988448
3600.55,9.9079231312
3611.98,9.9522878949
3623.4,10.0857520425
3634.83,10.0723657355
3646.26,10.0413194334
3657.69,10.0787238357
3669.11,10.134054253
3680.54,10.1439936492
3691.97,10.1148314338
3703.39,10.1792261321
3714.82,10.2106838158
3726.25,10.2259262834
3737.68,10.268820489
3749.1,10.3508460272
3760.53,10.382266572
3771.96,10.3842822892
3783.38,10.3708817874
3794.81,10.4440760896
3806.24,10.4597932322
3817.67,10.3797855407
3829.09,10.3862802315
3840.52,10.4508886424
3851.95,10.4607378761
3863.37,10.5516832527
3874.8,10.5920294647
3886.23,10.6276102628
3897.66,10.6882368948
3909.08,10.670987428
3920.51,10.7729246639
3931.94,10.7688182777
3943.36,10.7611080745
3954.79,10.7404128281
3966.22,10.8591106621
3977.65,10.8518583526
3989.07,10.8166139853
4000.5,10.7296794433
4011.93,10.9018823579
4023.35,10.8936082649
4034.78,10.9293531769
4046.21,10.9200276522
4057.64,11.007769069
4069.06,10.9115732013
4080.49,10.8745792243
