Date:,21 Nov 2014
Frequency [MHz],Loss [dB]
1.0,0.0291488800077
12.43,0.456530997094
23.85,0.440866391251
35.28,0.449771638479
46.71,0.532647497007
58.14,0.587625999808
69.56,0.6425657706
80.99,0.674992443441
92.42,0.699960806164
103.84,0.727988175739
115.27,0.749002187214
126.7,0.776912790939
138.13,0.801517287924
149.55,0.819101017564
160.98,0.847957508435
172.41,0.866264442219
183.83,0.894598025697
195.26,0.911627800517
206.69,0.933018748419
218.12,0.954247236729
229.54,0.981351228039
240.97,0.999080005041
252.4,1.01374299046
263.82,1.02368216296
275.25,1.04072947456
286.68,1.06175484475
298.11,1.09187401252
309.53,1.11386111978
320.96,1.14488716957
332.39,1.15956955506
343.81,1.18121335641
355.24,1.20610325225
366.67,1.23994108975
378.1,1.27261924414
389.52,1.31053815249
400.95,1.32849799608
412.38,1.32570898801
423.8,1.36415066265
435.23,1.39626981744
446.66,1.39855871252
458.09,1.40974257086
469.51,1.43312173372
480.94,1.45271255504
492.37,1.47191550233
503.79,1.48809125659
515.22,1.50692718186
526.65,1.52568305287
538.08,1.53580675036
549.5,1.54840204246
560.93,1.52844812524
572.36,1.51717375511
583.78,1.50008155444
595.21,1.47540384833
606.64,1.47301029032
618.07,1.47471355624
629.49,1.45768477512
640.92,1.39374660646
652.35,1.36728039207
663.77,1.41575416028
675.2,1.4639863129
686.63,1.50593325944
698.06,1.5345414467
709.48,1.56062953114
720.91,1.58007517798
732.34,1.60075055426
743.76,1.58533680615
755.19,1.59858494361
766.62,1.63443220216
778.05,1.69756339013
789.47,1.75142802291
800.9,1.77503403449
812.33,1.79116219944
823.75,1.79399120293
835.18,1.79125723859
846.61,1.80726280695
858.04,1.78559671673
869.46,1.76046766482
880.89,1.75908879175
892.32,1.76834801574
903.74,1.79051972074
915.17,1.82280368424
926.6,1.85568927818
938.03,1.87733918273
949.45,1.89383571427
960.88,1.92152487285
972.31,1.94257798115
983.73,1.95587699803
995.16,1.97333090082
1006.59,1.98759664878
1018.02,2.00487376783
1029.44,2.02551523539
1040.87,2.03133084135
1052.3,2.03246539526
1063.72,2.06114907356
1075.15,2.08333111281
1086.58,2.09711037572
1098.01,2.07867565768
1109.43,2.06909695396
1120.86,2.0795118395
1132.29,2.09407892241
1143.71,2.11157174617
1155.14,2.13970731836
1166.57,2.14350407361
1178.0,2.15503579162
1189.42,2.17909051995
1200.85,2.19673947401
1212.28,2.22456112913
1223.7,2.25559904566
1235.13,2.29053317946
1246.56,2.31694377984
1257.99,2.33781877476
1269.41,2.36139208009
1280.84,2.38693847977
1292.27,2.39590171216
1303.69,2.41507220212
1315.12,2.42123611731
1326.55,2.43447387386
1337.98,2.44261781808
1349.4,2.45931202141
1360.83,2.46944593586
1372.26,2.48294034952
1383.68,2.49889750912
1395.11,2.5084631044
1406.54,2.51449429359
1417.97,2.52656631062
1429.39,2.54056287077
1440.82,2.54155115372
1452.25,2.54839074393
1463.67,2.55966118346
1475.1,2.57662626156
