10-Jan-14,
Frequency [Hz],Loss [dB]
7.00E+07,0.4
1.00E+08,0.3
2.00E+08,0.5
3.00E+08,0.7
4.00E+08,0.7
5.00E+08,0.7
6.00E+08,0.8
7.00E+08,0.8
8.00E+08,0.9
9.00E+08,0.9
1.00E+09,0.9
1.25E+09,1.1
1.50E+09,1.3
1.75E+09,1.3
2.00E+09,1.4
2.25E+09,1.5
2.50E+09,1.7
2.75E+09,1.7
3.00E+09,1.7
3.25E+09,1.7
3.50E+09,1.7
3.75E+09,1.7
4.00E+09,1.7
4.25E+09,1.8
4.50E+09,2
4.75E+09,2.3
5.00E+09,2.5
5.25E+09,2.5
5.50E+09,2.5
5.75E+09,2.5
6.00E+09,2.6
