21 November 2013
Frequency [MHz],Loss [dB]
1.0,0.038947204390621694
12.43,0.54167829854444338
23.850000000000001,0.56256949646243848
35.280000000000001,0.59924630955748803
46.710000000000001,0.71126282670790875
58.140000000000001,0.79286478642232938
69.560000000000002,0.87042294278975185
80.989999999999995,0.92058880519655328
92.420000000000002,0.96046241715582659
103.84,1.018166490443853
115.27,1.0552599079023282
126.7,1.099882227002426
138.13,1.1403182342874647
149.55000000000001,1.1835728990908227
160.97999999999999,1.2228594457486459
172.41,1.2517356929325416
183.83000000000001,1.2847198906634159
195.25999999999999,1.3245280302460012
206.69,1.3565023138987153
218.12,1.3975445448989543
229.53999999999999,1.4361246211783636
240.97,1.4671663600461291
252.40000000000001,1.49106480461705
263.81999999999999,1.5236030040283528
275.25,1.5623667115331226
286.68000000000001,1.5974975359375674
298.11000000000001,1.6230760260820336
309.52999999999997,1.6524507621621258
320.95999999999998,1.6925909603214675
332.38999999999999,1.7212608390835729
343.81,1.7540738301942369
355.24000000000001,1.796204537818572
366.67000000000002,1.8485414393405293
378.10000000000002,1.88933597667911
389.51999999999998,1.9271228793698258
400.94999999999999,1.9659017190114989
412.38,1.9775228997702365
423.80000000000001,2.014852704718983
435.23000000000002,2.052058636286739
446.66000000000003,2.0622991908688042
458.08999999999997,2.0837428356323735
469.50999999999999,2.1307088798838691
480.94,2.1716449563707907
492.37,2.1985988154248419
503.79000000000002,2.2135692908752365
515.22000000000003,2.2388368285957192
526.64999999999998,2.2791945634309392
538.08000000000004,2.3144243876152362
549.5,2.322562934174063
560.92999999999995,2.3056529990815027
572.36000000000001,2.2950937229249262
583.77999999999997,2.2928864658950072
595.21000000000004,2.2673186760762727
606.63999999999999,2.2901935944640757
618.07000000000005,2.3325414631685835
629.49000000000001,2.335367637432999
640.91999999999996,2.2468996287825926
652.35000000000002,2.2015585072300849
663.76999999999998,2.2565001336126036
675.20000000000005,2.3168161491195578
686.63,2.3601551086853481
698.05999999999995,2.4068686453144807
709.48000000000002,2.4495467114184635
720.90999999999997,2.4760957942284278
732.34000000000003,2.5200816007521247
743.75999999999999,2.5561811211369161
755.19000000000005,2.6067141870329587
766.62,2.6208862082651656
778.04999999999995,2.6497335472844989
789.47000000000003,2.7097584783918003
800.89999999999998,2.7304372870976819
812.33000000000004,2.7509860179340455
823.75,2.7778470560099739
835.17999999999995,2.7969410080596453
846.61000000000001,2.817511395705071
858.03999999999996,2.8061701008997053
869.46000000000004,2.7930386091773416
880.88999999999999,2.8255066137120566
892.32000000000005,2.8343334588255353
903.74000000000001,2.8434181544495027
915.16999999999996,2.8707485774075256
926.60000000000002,2.8978759400540097
938.02999999999997,2.9402729944970374
949.45000000000005,3.001860592869777
960.88,3.0855608517124327
972.30999999999995,3.1293845177844464
983.73000000000002,3.1150701695689191
995.15999999999997,3.0919062343922525
1006.59,3.1086628600016457
1018.02,3.1416969994699682
1029.4400000000001,3.1703623941673573
1040.8699999999999,3.1817332883077096
1052.3,3.1956470172464848
1063.72,3.2280948562045255
1075.1500000000001,3.2668250266236338
1086.5799999999999,3.3527116535001502
1098.01,3.4117931023019104
1109.4300000000001,3.4031322385423239
1120.8599999999999,3.3492051385102029
1132.29,3.3217775224143424
1143.71,3.3393119467457759
1155.1400000000001,3.3669438857661955
1166.5699999999999,3.3787461637973912
1178.0,3.4119127969160772
1189.4200000000001,3.4568256555612793
1200.8499999999999,3.4864683148982949
1212.28,3.5294448273493044
1223.7,3.5727023844294394
1235.1300000000001,3.6032404152944975
1246.5599999999999,3.6312225867033034
1257.99,3.6595310132430421
1269.4100000000001,3.6901988842266342
1280.8399999999999,3.7321326397671379
1292.27,3.7756292248227004
1303.6900000000001,3.8325368302054228
1315.1199999999999,3.837924291556122
1326.55,3.8234697010125149
1337.98,3.817788706925465
1349.4000000000001,3.8801934172672663
1360.8299999999999,3.948401709976753
1372.26,3.9654739291597894
1383.6800000000001,3.9431197787385295
1395.1099999999999,3.9259216856173005
1406.54,3.9314382911170593
1417.97,3.9516255040289248
1429.3900000000001,3.992095238387158
1440.8199999999999,4.0443052469299223
1452.25,4.0824399788269607
1463.6700000000001,4.0775631360076412
1475.0999999999999,4.0649047856993885
1486.53,4.0599849796381058
1497.96,4.0741588824492938
1509.3800000000001,4.1062752600094932
1520.8099999999999,4.1379819929012616
1532.24,4.1729034377639689
1543.6600000000001,4.2062993503034569
1555.0899999999999,4.2649491801433221
1566.52,4.3248372197594316
1577.95,4.3489246807378077
1589.3699999999999,4.3164012719067832
1600.8,4.2700754340416127
1612.23,4.2567754488809459
1623.6500000000001,4.2716919718634916
1635.0799999999999,4.2958851410277878
1646.51,4.310014218702964
1657.9400000000001,4.3066762030770178
1669.3599999999999,4.3162518324811856
1680.79,4.3286748576952094
1692.22,4.367948356393029
1703.6400000000001,4.4271169853708523
1715.0699999999999,4.4947437023820909
1726.5,4.5566879908654023
1737.9300000000001,4.5733115160788786
1749.3499999999999,4.5886794719057233
1760.78,4.5849321920723662
1772.21,4.5613232033507298
1783.6300000000001,4.5609299695090533
1795.0599999999999,4.5334960952487577
1806.49,4.5407015374277488
1817.9200000000001,4.5706504608777987
1829.3399999999999,4.6085133679511392
1840.77,4.6312633166174164
1852.2,4.6368113748173743
1863.6199999999999,4.6584035438430913
1875.05,4.6713690102276972
1886.48,4.6974915282263554
1897.9100000000001,4.7439151627524891
1909.3299999999999,4.7802033380505708
1920.76,4.7978806624078789
1932.1900000000001,4.7648216552846163
1943.6099999999999,4.7456217281610087
1955.04,4.7193105087868634
1966.47,4.7165873142633288
1977.9000000000001,4.7294567256141766
1989.3199999999999,4.746026534273506
2000.75,4.7680000899948469
2012.1800000000001,4.8082718473370489
2023.5999999999999,4.8603929476934926
2035.03,4.9052488262034517
2046.46,4.9451780660476761
2057.8899999999999,4.9322183146598375
2069.3099999999999,4.9219849493329972
2080.7399999999998,4.9118608446130718
2092.1700000000001,4.9088490448585151
2103.5900000000001,4.9267257380013536
2115.02,4.9254105697756438
2126.4499999999998,4.9352966714881639
2137.8800000000001,4.9487580505998903
2149.3000000000002,4.9838236740507789
2160.73,5.0337237271579367
2172.1599999999999,5.10303874034736
2183.5799999999999,5.1446679128398092
2195.0100000000002,5.1474282065091108
2206.4400000000001,5.1207423086855774
2217.8699999999999,5.0606379904712764
2229.29,5.0409694561588374
2240.7199999999998,5.0501489720087127
2252.1500000000001,5.0614854920986305
2263.5700000000002,5.097241368327186
2275.0,5.1151779464268508
2286.4299999999998,5.1468040506843353
2297.8600000000001,5.196465546291166
2309.2800000000002,5.2276456296666858
2320.71,5.2869060859924994
2332.1399999999999,5.2952411114102436
2343.5599999999999,5.3079250999787195
2354.9899999999998,5.3195052092335775
2366.4200000000001,5.3159791398424296
2377.8499999999999,5.3023438477191842
2389.27,5.298196878099918
2400.6999999999998,5.2942256325020702
2412.1300000000001,5.2851156807781523
2423.5500000000002,5.3062575647977912
2434.98,5.3344627558176203
2446.4099999999999,5.3692205956870334
2457.8400000000001,5.3972995699480988
2469.2600000000002,5.4141865658925328
2480.6900000000001,5.4302825641486896
2492.1199999999999,5.4356855900598298
2503.54,5.4458853594886349
2514.9699999999998,5.4572391621962923
2526.4000000000001,5.4658543922829033
2537.8299999999999,5.4528557323303088
2549.25,5.4478087598334382
2560.6799999999998,5.4657007205196839
2572.1100000000001,5.4752034624815042
2583.5300000000002,5.5001854019196745
2594.96,5.5222601445752906
2606.3899999999999,5.5619906281937732
2617.8200000000002,5.6044058930803127
2629.2399999999998,5.6613555824998372
2640.6700000000001,5.6977898454259357
2652.0999999999999,5.7263494318569403
2663.52,5.7378504771731258
2674.9499999999998,5.7387531732713057
2686.3800000000001,5.7280691034288038
2697.8099999999999,5.6980728370320763
2709.23,5.6886422105183092
2720.6599999999999,5.6642692186626116
2732.0900000000001,5.6857282002834513
2743.5100000000002,5.7271438484679251
2754.9400000000001,5.7754671100399122
2766.3699999999999,5.7953488646933167
