21 November 2013
Frequency [Hz],Loss [dB]
1000000.0,0.018164164558622683
12427142.85714286,0.34512628997902578
23854285.714285709,0.35231234254479138
35281428.571428567,0.37264580192706886
46708571.428571433,0.43579696837998227
58135714.285714284,0.48208763388207232
69562857.142857134,0.52872566644846986
80990000.0,0.55604757463319143
92417142.857142851,0.58176038944745245
103844285.7142857,0.60926061459066583
115271428.5714286,0.62897338098278843
126698571.4285714,0.65444429867824172
138125714.2857143,0.67954159805054348
149552857.1428571,0.6949509480017384
160980000.0,0.71954793634938452
172407142.85714281,0.7374009604094296
183834285.7142857,0.76204432379731546
195261428.5714286,0.77710232836136361
206688571.4285714,0.79692108436339448
218115714.2857143,0.81745230223482368
229542857.1428571,0.84056153056141314
240970000.0,0.85621532898618824
252397142.85714281,0.8716006893965329
263824285.7142857,0.88152081776550961
275251428.57142848,0.89765451658512485
286678571.4285714,0.91437804336189277
298105714.28571433,0.9398234361454294
309532857.14285707,0.95572029417745441
320960000.0,0.982539478914636
332387142.85714281,0.99685240863319158
343814285.71428567,1.015565660339649
355241428.57142848,1.0347813641091061
366668571.4285714,1.0649761321281286
378095714.28571433,1.089934243120156
389522857.14285707,1.1191841973913936
400950000.0,1.1342876881695361
412377142.85714281,1.1353956361652155
423804285.71428567,1.1626954987043814
435231428.57142848,1.1892958091566497
446658571.4285714,1.1941659442607424
458085714.28571433,1.2046933780706892
469512857.14285707,1.2241112686148035
480939999.99999988,1.2417517294407234
492367142.85714281,1.2585814620553801
503794285.71428567,1.2722762060354675
515221428.57142848,1.2870440630558508
526648571.4285714,1.3039491536663683
538075714.28571427,1.3125278537680238
549502857.14285707,1.3244042123187008
560930000.0,1.3136600739002016
572357142.85714281,1.30924706037442
583784285.71428573,1.3003553491784001
595211428.57142854,1.2872666565259663
606638571.42857134,1.2872799768379513
618065714.28571427,1.291682663097194
629492857.14285707,1.2830967615854258
640920000.0,1.2429248767793535
652347142.85714281,1.2244421409657424
663774285.71428561,1.257037743210768
675201428.57142854,1.2902044020673555
686628571.42857134,1.3225020528720861
698055714.28571427,1.3452442866417702
709482857.14285707,1.3671797034824191
720910000.0,1.3851723193105823
732337142.85714281,1.4017241841226926
743764285.71428561,1.387776814547917
755191428.57142854,1.4041176591559223
766618571.42857134,1.4302658012896714
778045714.28571427,1.474099727326013
789472857.14285707,1.5138393723953789
800900000.0,1.5338511273050686
812327142.85714281,1.5479428673206646
823754285.71428561,1.5514944181696122
835181428.57142854,1.5542190324916765
846608571.42857134,1.5698022869918626
858035714.28571427,1.5550426192519025
869462857.14285707,1.5401868902497853
880889999.99999988,1.5414123364252736
892317142.85714281,1.5487219800766732
903744285.71428561,1.5671078666203249
915171428.57142854,1.5932224204718572
926598571.42857134,1.6182373697653238
938025714.28571427,1.6347572343529397
949452857.14285707,1.6492992447280426
960879999.99999988,1.6717053370917512
972307142.85714281,1.6896067929175429
983734285.71428561,1.7000598218689076
995161428.57142854,1.7144884566199079
1006588571.428571,1.7247958713195795
1018015714.285714,1.738260734674856
1029442857.142857,1.7543032919782049
1040870000.0,1.7609625160090321
1052297142.857143,1.76413593279152
1063724285.714286,1.7852093740219352
1075151428.571429,1.803974623993613
1086578571.4285719,1.8149547827840435
1098005714.2857139,1.8020093634252747
1109432857.1428571,1.8032907740859829
1120860000.0,1.8164220310652048
1132287142.8571429,1.8270188303136043
1143714285.7142861,1.8410810641322404
1155141428.571429,1.8646643368059981
1166568571.4285719,1.8675641434875923
1177995714.2857139,1.8771852611774449
1189422857.1428571,1.8978834308941632
1200850000.0,1.9130018740106669
1212277142.8571429,1.9337243514443785
1223704285.7142861,1.9577922856861325
1235131428.571429,1.9849654945825916
1246558571.428571,2.0008534825875373
1257985714.2857139,2.0157425416206256
1269412857.1428571,2.0343356573011229
1280840000.0,2.0512533306173344
1292267142.8571429,2.0585281535648066
1303694285.7142861,2.0761810578492788
1315121428.571429,2.0825789363762026
1326548571.428571,2.092176233745537
1337975714.2857139,2.1010378441058553
1349402857.1428571,2.1145832790611272
1360830000.0,2.1208803925426936
1372257142.8571429,2.1317848976978646
1383684285.7142861,2.1464181177147026
1395111428.571429,2.1540034403477897
1406538571.428571,2.1596486052513315
1417965714.2857139,2.1718718695165196
1429392857.1428571,2.1856646103748245
1440820000.0,2.1878901251636895
1452247142.8571429,2.1961247185776003
1463674285.7142861,2.2056802862695708
1475101428.571429,2.219085263632961
1486528571.428571,2.2232645370349808
1497955714.2857139,2.2379356365756129
1509382857.1428571,2.2476158432247066
1520810000.0,2.2558312487920853
1532237142.8571429,2.2675817756189418
1543664285.7142861,2.2773153386352907
1555091428.571429,2.2810817357483653
1566518571.428571,2.2852230919611625
1577945714.2857139,2.2964606186249372
1589372857.1428571,2.2980487199197879
1600800000.0,2.3090029548422102
1612227142.8571429,2.3230647761239389
1623654285.7142861,2.3374588809974388
1635081428.571429,2.3403812906560084
1646508571.428571,2.3493138080069764
1657935714.2857139,2.3519253726073477
1669362857.1428571,2.3572437284520369
1680790000.0,2.3657480271929239
1692217142.8571429,2.3775415351922726
1703644285.7142861,2.3812701029572527
1715071428.571429,2.3940718105022971
1726498571.428571,2.4142326573420307
1737925714.2857139,2.4192595058109654
1749352857.1428571,2.4324524974959996
1760780000.0,2.4459769542078957
1772207142.8571429,2.4533398367819332
1783634285.7142861,2.4543412543339453
1795061428.571429,2.4612153291675316
1806488571.428571,2.4672458603592533
1817915714.2857139,2.4668527548985337
1829342857.1428571,2.4767670746478219
1840770000.0,2.4898497806966504
1852197142.8571429,2.4933404793842238
1863624285.7142861,2.5014464991742504
1875051428.571429,2.5105577468337459
1886478571.428571,2.5109101973029313
1897905714.2857139,2.5167289762931548
1909332857.1428571,2.5222001100379585
1920760000.0,2.5348808518294645
1932187142.8571429,2.5438669484256287
1943614285.7142861,2.5437273276579933
1955041428.571429,2.5468040626350086
1966468571.428571,2.5490142901513293
1977895714.2857139,2.5499508890172056
1989322857.1428571,2.5582521738504354
2000750000.0,2.5644254924448777
2012177142.8571429,2.5704864439705686
2023604285.7142861,2.5803722444932591
2035031428.571429,2.5872596694736725
2046458571.428571,2.5982498139824122
2057885714.2857139,2.6012554593890327
2069312857.1428571,2.6154132081971406
2080740000.0,2.6208414191572507
2092167142.8571429,2.6257411031797497
2103594285.7142861,2.6358468093196841
2115021428.571429,2.6430678078047047
2126448571.428571,2.6523145280316465
2137875714.2857139,2.6564648991309836
2149302857.1428571,2.6699799154970352
2160730000.0,2.6779235929847589
2172157142.8571429,2.6863487340611911
2183584285.7142849,2.6943952283921302
2195011428.5714278,2.7037901871932584
2206438571.4285712,2.7070696570156554
2217865714.2857141,2.7103523321793537
2229292857.1428571,2.7143792946292065
2240720000.0,2.722008551509199
2252147142.8571429,2.7265039047722137
2263574285.7142849,2.7322184633459337
2275001428.5714278,2.7459857539170498
2286428571.4285712,2.7542525992527751
2297855714.2857141,2.7588486963100056
2309282857.1428571,2.7720905798838196
2320710000.0,2.7769074536950997
2332137142.8571429,2.7846495410679393
2343564285.7142849,2.7908058557150515
2354991428.5714278,2.7958296519317947
2366418571.4285712,2.8018555910011611
2377845714.2857141,2.809531762095963
2389272857.1428571,2.8186198373350373
2400700000.0,2.8262523481024346
2412127142.8571429,2.8351439329838959
2423554285.7142849,2.8477266359181845
2434981428.5714278,2.8522644810118298
2446408571.4285712,2.8634288623689836
2457835714.2857141,2.873558362233009
2469262857.1428571,2.8770663716798168
2480690000.0,2.8923463632027944
2492117142.857142,2.8973631756320684
2503544285.7142849,2.9052001995036303
2514971428.5714278,2.9083210561057022
2526398571.4285712,2.9104442600971554
2537825714.2857141,2.9128117327922389
2549252857.1428571,2.9133793766757048
2560680000.0,2.916719497517108
2572107142.857142,2.9237386562317385
2583534285.7142849,2.9361482262068099
2594961428.5714278,2.9423917884298256
2606388571.4285712,2.950956136196218
2617815714.2857141,2.9623702781805878
2629242857.1428571,2.9731603719030781
2640670000.0,2.9759946042153365
2652097142.857142,2.9872401395636978
2663524285.7142849,2.9985536491925644
2674951428.5714278,3.0031088403647126
2686378571.4285712,3.0038271395949696
2697805714.2857141,3.0023967965215443
2709232857.1428571,3.0122989912328144
2720660000.0,3.0117487098594098
2732087142.857142,3.0239995113927307
2743514285.7142849,3.0329996757017148
2754941428.5714278,3.0353542339438353
2766368571.4285712,3.0415160517249062
2777795714.2857141,3.0455346568632451
2789222857.1428571,3.0487653010240594
2800650000.0,3.0604572542591404
2812077142.857142,3.0636624161973516
2823504285.7142849,3.0708016358787105
2834931428.5714278,3.0712734297749771
2846358571.4285712,3.08020407981512
2857785714.2857141,3.096236912425296
2869212857.1428571,3.1030689179964468
2880640000.0,3.1105898768434841
2892067142.857142,3.1213483310231949
2903494285.7142849,3.130042125418965
2914921428.5714278,3.1361933117754091
2926348571.4285712,3.1427085341416969
2937775714.2857141,3.1466465897088858
2949202857.1428571,3.155271508235189
2960630000.0,3.1645065662038272
2972057142.857142,3.1786205029196175
2983484285.7142849,3.183562112639164
2994911428.5714278,3.1878330097172141
3006338571.4285712,3.2013684156215918
3017765714.2857141,3.2069729685167916
3029192857.1428571,3.2111841649068529
3040620000.0,3.211223400808112
3052047142.857142,3.2275924849126394
3063474285.7142849,3.2303301262029764
3074901428.5714278,3.2326754341941122
3086328571.4285712,3.2411545938623947
3097755714.2857141,3.2496233533727601
3109182857.1428571,3.2507447070860787
3120610000.0,3.260787079131894
3132037142.857142,3.2757121152529942
3143464285.7142849,3.2761587270012482
3154891428.5714278,3.2848982579713311
3166318571.4285712,3.297837324543154
3177745714.2857141,3.3128964903497131
3189172857.1428571,3.3191086196429067
3200600000.0,3.3373595668663372
3212027142.857142,3.3529573058676192
3223454285.7142849,3.3568775480745758
3234881428.5714278,3.3666475725693279
3246308571.4285712,3.3763181580134631
3257735714.2857141,3.3804422468481956
3269162857.1428571,3.381644234972971
3280590000.0,3.3894930531480929
3292017142.857142,3.3969736565417952
3303444285.7142849,3.3910499106933019
3314871428.5714278,3.3988774643039479
3326298571.4285712,3.4158688878751491
3337725714.2857141,3.3976451428384311
3349152857.1428571,3.3973320786925258
3360580000.0,3.4105530518640848
3372007142.857142,3.401796106375655
3383434285.7142849,3.3966772647279138
3394861428.5714278,3.4048179816811928
3406288571.4285712,3.4049923006590088
3417715714.2857141,3.4068995399372923
3429142857.1428571,3.4142725099719051
3440570000.0,3.4267324053239432
3451997142.857142,3.4257610592962031
3463424285.7142849,3.4305404582044243
3474851428.5714278,3.4424085447275159
3486278571.4285712,3.444149244670593
3497705714.2857141,3.4392777840633642
3509132857.1428571,3.4488638748140859
3520560000.0,3.456440635335666
3531987142.857142,3.4582822028931681
