22 November 2013
Frequency [Hz],Gain [dB]
50000000.0,70.859121146318245
84650000.0,70.859121146318245
99300000.0,71.133184393846832
113950000.0,71.278235967006978
128600000.0,71.381398597017125
143250000.0,71.463649193644301
157900000.0,71.528054947248222
172550000.0,71.55385864477077
187200000.0,71.607840633924667
201850000.0,71.639249477042767
216500000.0,71.680118558421782
231150000.0,71.698105072736865
245800000.0,71.727772912966799
260450000.0,71.748996278012356
275100000.0,71.762013290452714
289750000.0,71.788562341092501
304400000.0,71.789421577294121
319050000.0,71.790404606742143
333700000.0,71.81939284991067
348350000.0,71.831616249960149
363000000.0,71.836142717683487
377650000.0,71.83729975539066
392300000.0,71.86122557488487
406950000.0,71.867471494011014
421600000.0,71.872996984343416
436250000.0,71.882588954392787
450900000.0,71.904520638675862
465550000.0,71.913486870970374
480200000.0,71.924254085854201
494850000.0,71.901547659891918
509500000.0,71.915859407491808
524150000.0,71.927918899070136
538800000.0,71.925971531812252
553450000.0,71.941327943151592
568100000.0,71.963962299656004
582750000.0,71.963620604980179
597400000.0,71.95398290046495
612050000.0,71.963661508469585
626700000.0,71.958206223618959
641350000.0,71.97321680866348
656000000.0,71.973314416006531
670650000.0,71.98402706412503
685300000.0,72.005388998736265
699950000.0,71.994765398708353
714600000.0,71.997780067370968
729250000.0,71.980383658886836
743900000.0,72.006075890227407
758550000.0,72.005625061944684
773200000.0,71.988605671624555
787850000.0,72.033284909708357
802500000.0,72.016924010015344
817150000.0,72.009401467627953
831800000.0,72.013146916482341
846450000.0,72.033080863360254
861100000.0,72.056215241642775
875750000.0,72.050722279014636
890400000.0,72.047522345425989
905050000.0,72.037612373000258
919700000.0,72.017238394433193
934350000.0,72.051175467977217
949000000.0,72.066288424670091
963650000.0,72.07173201026383
978300000.0,72.085401034741253
992950000.0,72.0647346337241
1007600000.0,72.085872927534496
1022250000.0,72.063930927793123
1036900000.0,72.091248629931641
1051550000.0,72.085067978926162
1066200000.0,72.085073085269727
1080850000.0,72.090519186882588
1095500000.0,72.057975292131886
1110150000.0,72.039796937255289
1124800000.0,72.054860149469775
1139450000.0,72.089335701398454
1154100000.0,72.103994681648032
1168750000.0,72.10472599898327
1183400000.0,72.079973164619844
1198050000.0,72.106193982766541
1212700000.0,72.114276321677451
1227350000.0,72.138289524737289
1242000000.0,72.128976820456217
1256650000.0,72.147587283588592
1271300000.0,72.14042664582297
1285950000.0,72.132233112332244
1300600000.0,72.147127811010861
1315250000.0,72.139492220212901
1329900000.0,72.160635140591097
1344550000.0,72.177888525553044
1359200000.0,72.158989529163762
1373850000.0,72.175114366508737
1388500000.0,72.180551141773549
1403150000.0,72.170266744500822
1417800000.0,72.240240719745216
1432450000.0,72.218338653924903
1447100000.0,72.258567970877351
1461750000.0,72.227302564028662
1476400000.0,72.252233572551091
1491050000.0,72.226193199590909
1505700000.0,72.248951107859369
1520350000.0,72.314155253322653
1535000000.0,72.294443037723866
1549650000.0,72.312907307911217
1564300000.0,72.279459209172842
1578950000.0,72.27819421147251
1593600000.0,72.303204727412236
1608250000.0,72.323546635863408
1622900000.0,72.382800639004131
1637550000.0,72.40175657207044
1652200000.0,72.391118266794692
1666850000.0,72.383919690707017
1681500000.0,72.372517010504794
1696150000.0,72.440493149271646
1710800000.0,72.428040675052358
1725450000.0,72.489150560727936
1740100000.0,72.49375942492631
1754750000.0,72.487856505550724
1769400000.0,72.518211747141208
1784050000.0,72.501722096172841
1798700000.0,72.542970262174137
1813350000.0,72.585273759498875
1828000000.0,72.577720277249924
