19-Nov-13,
Frequency [Hz],Gain [dB]
5.00E+07,35.85572485
8.00E+07,35.85572485
100000000,36.01089157
100000000,36.09249395
100000000,36.14975441
100000000,36.19861769
200000000,36.2382053
200000000,36.25072026
200000000,36.28109626
201850000,36.30761669
216500000,36.32835037
231150000,36.33820167
245800000,36.35577089
260450000,36.36579361
275100000,36.38559117
289750000,36.39658374
304400000,36.39712154
319050000,36.39469568
333700000,36.42326908
348350000,36.42930545
363000000,36.43477129
377650000,36.43265298
392300000,36.44919901
406950000,36.45841626
421600000,36.45544847
436250000,36.46932424
450900000,36.48617161
465550000,36.4921848
480200000,36.50620358
494850000,36.487798
509500000,36.50303482
524150000,36.51355981
538800000,36.50327702
553450000,36.51628782
568100000,36.53339364
582750000,36.53842204
597400000,36.52643778
612050000,36.53702542
626700000,36.54029272
641350000,36.5522468
656000000,36.55480323
670650000,36.55772078
685300000,36.57883238
699950000,36.57470099
714600000,36.57567801
729250000,36.5622961
743900000,36.58280854
758550000,36.58075401
773200000,36.56836145
787850000,36.60619881
802500000,36.59648012
817150000,36.59452555
831800000,36.59259724
846450000,36.61505738
861100000,36.62207827
875750000,36.61997797
890400000,36.62354897
905050000,36.61479966
919700000,36.60150655
934350000,36.62885728
949000000,36.63872192
963650000,36.6436498
978300000,36.65323472
992950000,36.64004441
1007600000,36.65236052
1022250000,36.63298981
1036900000,36.64994497
1051550000,36.64637649
1066200000,36.65115101
1080850000,36.65426854
1095500000,36.63847311
1110150000,36.63026419
1124800000,36.61775561
1139450000,36.65192462
1154100000,36.66822599
1168750000,36.66938748
1183400000,36.65290952
1198050000,36.66492546
1212700000,36.67438314
1227350000,36.68294046
1242000000,36.67465016
1256650000,36.68864591
1271300000,36.67791501
1285950000,36.68279726
1300600000,36.68890131
1315250000,36.67655646
1329900000,36.68815207
1344550000,36.69641645
1359200000,36.68882544
1373850000,36.69929711
1388500000,36.69746267
1403150000,36.69023352
1417800000,36.73203845
1432450000,36.71853319
1447100000,36.73997227
1461750000,36.7131668
1476400000,36.73185095
1491050000,36.71496824
1505700000,36.7361894
1520350000,36.76115205
1535000000,36.74905821
1549650000,36.75534615
1564300000,36.75188134
1578950000,36.74232506
1593600000,36.75846402
1608250000,36.73295008
1622900000,36.75977607
1637550000,36.78421086
1652200000,36.79596582
1666850000,36.78385989
1681500000,36.77912666
1696150000,36.81613863
1710800000,36.80644543
1725450000,36.83288302
1740100000,36.8247
1754750000,36.82956014
1769400000,36.83826031
1784050000,36.83336074
1798700000,36.85274161
1813350000,36.86968077
1828000000,36.86657306
1842650000,36.89951682
1857300000,36.88721329
1871950000,36.88096928
1886600000,36.92164259
1901250000,36.90230861
1915900000,36.95526561
1930550000,36.93547081
1945200000,36.93206171
1959850000,36.93772964
1974500000,36.91942814
1989150000,36.95087094
2003800000,36.95977347
2018450000,36.96341539
2033100000,36.96951569
2047750000,36.9553467
2062400000,36.98578369
2077050000,36.97610226
2091700000,37.00085281
2106350000,37.00429794
2121000000,37.01397765
2135650000,37.02706011
2150300000,37.01485912
2164950000,37.02389377
2179600000,37.03151741
2194250000,37.0559812
2208900000,37.0787462
2223550000,37.07889332
2238200000,37.08731512
2252850000,37.07715011
2267500000,37.09876805
2282150000,37.11561637
2296800000,37.1117543
2311450000,37.13360249
2326100000,37.14394761
2340750000,37.16920495
2355400000,37.1775801
2370050000,37.19272311
2384700000,37.21439833
2399350000,37.22696361
2414000000,37.21697094
2428650000,37.24408735
2443300000,37.24588736
2457950000,37.24224742
2472600000,37.2721185
2487250000,37.29032437
2501900000,37.30289402
2516550000,37.29641404
2531200000,37.29099829
2545850000,37.27341771
2560500000,37.27743568
2575150000,37.31942682
2589800000,37.31433223
2604450000,37.34241298
2619100000,37.3264413
2633750000,37.32528309
2648400000,37.33433741
2663050000,37.33844071
2677700000,37.34317438
2692350000,37.36832573
2707000000,37.35059151
2721650000,37.35310519
2736300000,37.33980311
2750950000,37.34002684
2765600000,37.35913706
2780250000,37.3587427
2794900000,37.37388439
2809550000,37.37454494
2824200000,37.35077086
2838850000,37.35702901
2853500000,37.35242986
2868150000,37.35225475
2882800000,37.36265966
2897450000,37.37560564
2912100000,37.35538735
2926750000,37.35063379
2941400000,37.32854616
2956050000,37.32211954
2970700000,37.33810613
2985350000,37.35093968
3000000000,37.34814129
3.50E+09,37
