19 November 2013
Frequency [Hz],Gain [dB]
84650000.0,35.855724852916268
99300000.0,36.010891573619659
113950000.0,36.092493948947123
128600000.0,36.149754408112031
143250000.0,36.198617687212057
157900000.0,36.238205296753748
172550000.0,36.250720256255441
187200000.0,36.281096259851452
201850000.0,36.307616689628311
216500000.0,36.328350367495872
231150000.0,36.33820167011222
245800000.0,36.355770889255631
260450000.0,36.365793613011
275100000.0,36.385591168074043
289750000.0,36.396583737449511
304400000.0,36.397121541208634
319050000.0,36.394695677185915
333700000.0,36.423269081587136
348350000.0,36.429305447945332
363000000.0,36.434771286646644
377650000.0,36.432652981306269
392300000.0,36.449199006398672
406950000.0,36.45841625597555
421600000.0,36.455448472527429
436250000.0,36.469324241185859
450900000.0,36.486171610067274
465550000.0,36.492184800860286
480200000.0,36.506203579389684
494850000.0,36.487797995856177
509500000.0,36.503034820816339
524150000.0,36.513559806107637
538800000.0,36.503277022394968
553450000.0,36.516287819273401
568100000.0,36.533393639135348
582750000.0,36.538422041862965
597400000.0,36.526437779998567
612050000.0,36.537025415110726
626700000.0,36.540292721471829
641350000.0,36.552246803961026
656000000.0,36.554803228649945
670650000.0,36.557720776390411
685300000.0,36.57883237916996
699950000.0,36.574700991792966
714600000.0,36.575678010232309
729250000.0,36.562296104866526
743900000.0,36.582808543767761
758550000.0,36.580754011550965
773200000.0,36.568361447359166
787850000.0,36.606198813373105
802500000.0,36.596480124524
817150000.0,36.594525545230411
831800000.0,36.592597239214413
846450000.0,36.61505738163293
861100000.0,36.622078271618321
875750000.0,36.619977972404541
890400000.0,36.62354897371177
905050000.0,36.614799655740143
919700000.0,36.601506545019674
934350000.0,36.628857278534248
949000000.0,36.638721923066967
963650000.0,36.643649801176856
978300000.0,36.653234718984322
992950000.0,36.640044411027425
1007600000.0,36.652360519217623
1022250000.0,36.632989810120982
1036900000.0,36.649944970988408
1051550000.0,36.646376490986434
1066200000.0,36.651151010349999
1080850000.0,36.654268537790486
1095500000.0,36.638473108683186
1110150000.0,36.630264190028242
1124800000.0,36.617755605011581
1139450000.0,36.651924621912713
1154100000.0,36.668225990856499
1168750000.0,36.669387484275852
1183400000.0,36.652909515236288
1198050000.0,36.664925460872695
1212700000.0,36.674383136273249
1227350000.0,36.682940457594356
1242000000.0,36.674650155115785
1256650000.0,36.688645908758161
1271300000.0,36.677915006992258
1285950000.0,36.682797261403984
1300600000.0,36.688901314210256
1315250000.0,36.676556461456705
1329900000.0,36.688152071200165
1344550000.0,36.696416446620212
1359200000.0,36.688825441865788
1373850000.0,36.699297112534651
1388500000.0,36.697462672981196
1403150000.0,36.690233522250743
1417800000.0,36.732038451351173
1432450000.0,36.718533189365445
1447100000.0,36.739972270907451
1461750000.0,36.713166803868276
1476400000.0,36.73185095282011
1491050000.0,36.714968239766613
1505700000.0,36.73618939908971
1520350000.0,36.761152052981352
1535000000.0,36.749058206641877
1549650000.0,36.755346147327998
1564300000.0,36.751881337150387
1578950000.0,36.742325059013858
1593600000.0,36.758464023362485
1608250000.0,36.732950081661571
1622900000.0,36.759776069983836
1637550000.0,36.784210863650671
1652200000.0,36.795965815550218
1666850000.0,36.78385989140402
1681500000.0,36.779126657493258
1696150000.0,36.816138632830445
1710800000.0,36.806445426979565
1725450000.0,36.832883020615974
1740100000.0,36.824699999328473
1754750000.0,36.829560144416497
1769400000.0,36.838260314312627
1784050000.0,36.83336074230651
1798700000.0,36.852741608527566
1813350000.0,36.869680774412394
1828000000.0,36.866573062627261
1842650000.0,36.899516820406262
1857300000.0,36.887213287650894
1871950000.0,36.880969282323754
1886600000.0,36.921642588896781
1901250000.0,36.902308607363608
1915900000.0,36.955265607051032
1930550000.0,36.935470814635693
1945200000.0,36.932061711857067
1959850000.0,36.937729638229023
1974500000.0,36.919428140549272
1989150000.0,36.950870937287903
2003800000.0,36.95977346939052
2018450000.0,36.963415392049058
2033100000.0,36.969515692064242
2047750000.0,36.955346701474504
2062400000.0,36.985783686210858
2077050000.0,36.976102264015246
2091700000.0,37.000852807469549
2106350000.0,37.004297943319131
2121000000.0,37.013977647756967
2135650000.0,37.027060106047571
2150300000.0,37.014859117634103
2164950000.0,37.023893770652968
2179600000.0,37.031517409266655
2194250000.0,37.055981199465592
2208900000.0,37.078746197004897
2223550000.0,37.078893319887015
2238200000.0,37.087315123263068
2252850000.0,37.077150108725363
2267500000.0,37.098768047574218
2282150000.0,37.115616367142998
2296800000.0,37.111754296307161
2311450000.0,37.133602488165941
2326100000.0,37.143947606706639
2340750000.0,37.169204949704891
2355400000.0,37.177580098137376
2370050000.0,37.192723112852299
2384700000.0,37.214398334953785
2399350000.0,37.226963611759736
2414000000.0,37.216970943962977
2428650000.0,37.244087351648162
2443300000.0,37.24588736395723
2457950000.0,37.242247423516389
2472600000.0,37.272118503543744
2487250000.0,37.290324370362768
2501900000.0,37.302894022810747
2516550000.0,37.296414035502515
2531200000.0,37.290998285339782
2545850000.0,37.273417709600871
2560500000.0,37.277435677256229
2575150000.0,37.319426817123293
2589800000.0,37.314332228797561
2604450000.0,37.342412984529766
2619100000.0,37.326441303650284
2633750000.0,37.325283091701536
2648400000.0,37.334337411316795
2663050000.0,37.338440713117066
2677700000.0,37.343174382839386
2692350000.0,37.368325733246792
2707000000.0,37.350591505496176
2721650000.0,37.353105190597965
2736300000.0,37.339803108945141
2750950000.0,37.340026840836209
2765600000.0,37.359137059390413
2780250000.0,37.358742704266959
2794900000.0,37.373884392344536
2809550000.0,37.374544942150322
2824200000.0,37.350770863425112
2838850000.0,37.357029013244947
2853500000.0,37.352429859165952
2868150000.0,37.352254750922526
2882800000.0,37.362659664120173
2897450000.0,37.375605640655394
2912100000.0,37.35538734512923
2926750000.0,37.350633790319719
2941400000.0,37.328546157922048
2956050000.0,37.322119543775344
2970700000.0,37.338106134546109
2985350000.0,37.350939684555598
3000000000.0,37.34814128908716
