21 November 2013
Frequency [Hz],Gain [dB]
1000000.0,11.060174360940147
12427142.857142899,27.008019907422693
23854285.714285702,31.535343438815879
35281428.571428597,33.298384696628837
46708571.428571403,34.100599320515379
58135714.285714298,34.541716969932203
69562857.142857105,34.76572650901791
80990000.0,34.956052261955023
92417142.857142806,35.068374644488365
103844285.714286,35.130023956008849
115271428.571429,35.193448856604348
126698571.428571,35.191897350717156
138125714.285714,35.205719992978132
149552857.14285699,35.238472640617239
160980000.0,35.245876914975511
172407142.85714301,35.281902674386664
183834285.714286,35.300891924305013
195261428.57142901,35.315018640969335
206688571.42857099,35.329170291472984
218115714.285714,35.37340194551409
229542857.14285699,35.347735380436418
240970000.0,35.380964043592734
252397142.85714301,35.313116195773787
263824285.714286,35.341816063849059
275251428.571428,35.347566223368418
286678571.42857099,35.323677848077622
298105714.28571397,35.341249473039511
309532857.14285702,35.303925748049174
320960000.0,35.343578771677578
332387142.85714298,35.387684125637605
343814285.71428603,35.347388635906341
355241428.571428,35.334502387003603
366668571.42857099,35.325101770804153
378095714.28571397,35.357201358841493
389522857.14285702,35.331233407284131
400950000.0,35.332658467393976
412377142.85714298,35.348865460547572
423804285.71428603,35.344401891296314
435231428.57142901,35.314442161486085
446658571.42857099,35.318588595866963
458085714.28571397,35.367020630838361
469512857.14285702,35.343463514556859
480940000.0,35.367138164242007
492367142.85714298,35.312738047195396
503794285.71428603,35.330368398879784
515221428.57142901,35.350711137805646
526648571.42857099,35.330213652839724
538075714.28571403,35.298957653498178
549502857.14285696,35.330322770039707
560930000.0,35.314394510221483
572357142.85714304,35.322841015545336
583784285.71428597,35.32971057405328
595211428.57142901,35.347531426059248
606638571.42857099,35.385730372123689
618065714.28571403,35.392290505062569
629492857.14285696,35.351583009936292
640920000.0,35.41278032067067
652347142.85714304,35.413186269057903
663774285.71428597,35.397268581962948
675201428.57142901,35.395214378918823
686628571.42857099,35.388076807019502
698055714.28571403,35.363610960886476
709482857.14285696,35.390257888066508
720910000.0,35.320338267833662
732337142.85714304,35.358274921207318
743764285.71428597,35.329132418005578
755191428.57142901,35.362990318142209
766618571.42857099,35.358892064617422
778045714.28571403,35.321315573404789
789472857.14285696,35.321104469624558
800900000.0,35.318603322247881
812327142.85714304,35.282208111539099
823754285.71428597,35.313556264147962
835181428.57142901,35.322893464831722
846608571.42857099,35.327028989182537
858035714.28571403,35.314107673059581
869462857.14285696,35.341330102826454
880890000.0,35.293001600071428
892317142.85714304,35.346326141071998
903744285.71428597,35.366444757990585
915171428.57142794,35.328081483531122
926598571.42857099,35.309334575953599
938025714.28571403,35.298521944113872
949452857.14285696,35.305864286890426
960880000.0,35.267848649755415
972307142.85714304,35.269240419170821
983734285.71428597,35.272543738453805
995161428.57142901,35.245812185200705
1006588571.42857,35.277072083070458
1018015714.28571,35.272776857818947
1029442857.1428601,35.257460621833786
1040870000.0,35.290304776329428
1052297142.8571399,35.281945255794163
1063724285.71429,35.254403605430241
1075151428.57143,35.266549858636481
1086578571.42857,35.280881453551146
1098005714.2857101,35.2938900887629
1109432857.1428599,35.288121984743334
1120860000.0,35.26892074742608
1132287142.8571401,35.276647244897781
1143714285.7142899,35.270127945279455
1155141428.57143,35.265544119675177
1166568571.42857,35.262224940204327
1177995714.2857101,35.260053224491827
1189422857.1428599,35.248852439599382
1200850000.0,35.263414968759193
1212277142.8571401,35.246316268454805
1223704285.7142899,35.280860958113266
1235131428.57143,35.246582620965455
1246558571.42857,35.242569029865592
1257985714.2857101,35.241281293597325
1269412857.1428599,35.254524744965529
1280840000.0,35.242953749695893
1292267142.8571401,35.2621165967808
1303694285.7142899,35.251277037741652
1315121428.57143,35.257914363293295
1326548571.42857,35.254909600025684
1337975714.2857101,35.233119282494513
1349402857.1428599,35.243037157249063
1360830000.0,35.247116727656127
1372257142.8571401,35.251434016237233
1383684285.7142899,35.2438647618293
1395111428.57143,35.237139496413135
1406538571.42857,35.247567401250841
1417965714.2857101,35.274507033905593
1429392857.1428599,35.242140415080769
1440820000.0,35.253895529387755
1452247142.8571401,35.261851513164103
1463674285.7142899,35.260269937693081
1475101428.57143,35.29779993813667
1486528571.42857,35.27274738213449
1497955714.2857101,35.295559596074206
1509382857.1428599,35.303153428417431
1520810000.0,35.297441736585228
1532237142.8571401,35.309185995046789
1543664285.7142899,35.310373630436416
1555091428.57143,35.305349710027848
1566518571.42857,35.27512935166444
1577945714.2857101,35.306649605670458
1589372857.1428599,35.291870924413885
1600800000.0,35.307501744276813
1612227142.8571401,35.336566116181594
1623654285.7142899,35.310733351663394
1635081428.57143,35.328571308211913
1646508571.42857,35.316538219511614
1657935714.2857101,35.357435719531956
1669362857.1428599,35.363329422029175
1680790000.0,35.35884844327871
1692217142.8571401,35.366304717062192
1703644285.7142899,35.364261921130321
1715071428.57143,35.367893607284664
1726498571.42857,35.354626676744999
1737925714.2857101,35.364930133432146
1749352857.1428599,35.408204843939231
1760780000.0,35.376469271500483
1772207142.8571401,35.366124617881503
1783634285.7142899,35.385398502653459
1795061428.57143,35.374663986594989
1806488571.42857,35.410807901085469
1817915714.2857101,35.418308951808569
1829342857.1428599,35.397474396229427
1840770000.0,35.416623418620347
1852197142.8571401,35.411393581302008
1863624285.7142899,35.435350805997757
1875051428.57143,35.453070117370636
1886478571.42857,35.459089014782769
1897905714.2857101,35.456614698915573
1909332857.1428599,35.463360182929364
1920760000.0,35.478145273196418
1932187142.8571401,35.489415602344351
1943614285.7142899,35.473517221747997
1955041428.57143,35.472343497763177
1966468571.42857,35.506051617783257
1977895714.2857101,35.522603117083158
1989322857.1428599,35.493055988644301
2000750000.0,35.540754705017143
2012177142.8571401,35.531548656262942
2023604285.7142899,35.529630326438564
2035031428.57143,35.53005660777086
2046458571.42857,35.546683544629822
2057885714.2857101,35.561463510028418
2069312857.1428599,35.556458227372616
2080740000.0,35.60470843876579
2092167142.8571401,35.573209772317846
2103594285.7142899,35.594275997983118
2115021428.57143,35.603918288413411
2126448571.42857,35.616313345215126
2137875714.2857101,35.657462452264646
2149302857.1428599,35.641057296141895
2160730000.0,35.608883714708107
2172157142.8571401,35.631893675029019
2183584285.7142801,35.63507529548572
2195011428.5714302,35.652598415314358
2206438571.4285698,35.641963410339173
2217865714.2857099,35.680375450960177
2229292857.1428599,35.691836045078318
2240720000.0,35.703974054109999
2252147142.8571401,35.694158215072285
2263574285.7142801,35.6915560002506
2275001428.5714302,35.73417715754433
2286428571.4285698,35.74185592367165
2297855714.2857099,35.761543754573346
2309282857.1428599,35.744941901203354
2320710000.0,35.763840534297564
2332137142.8571401,35.760221849580553
2343564285.7142801,35.753370383512255
2354991428.5714302,35.786191472063031
2366418571.4285698,35.783486547006042
2377845714.2857099,35.795245352584153
2389272857.1428599,35.804689305355723
2400700000.0,35.802099017534033
2412127142.8571401,35.79698536123913
2423554285.7142801,35.799893199114912
2434981428.5714302,35.854058864813439
2446408571.4285698,35.830266254792079
2457835714.2857099,35.85174620526395
2469262857.1428599,35.853725466326537
2480690000.0,35.829281431180775
2492117142.8571401,35.845082915378626
2503544285.7142801,35.856605951286255
2514971428.5714302,35.851753188533316
2526398571.4285698,35.872739009828869
2537825714.2857099,35.839367925866
2549252857.1428599,35.879971303172162
2560680000.0,35.880285086225932
2572107142.8571401,35.914544289108818
2583534285.7142801,35.897530199664487
2594961428.5714302,35.892298159353793
2606388571.4285698,35.903596168073413
2617815714.2857099,35.912949581393356
2629242857.1428599,35.90278397844007
2640670000.0,35.896413355422546
2652097142.8571401,35.917627936939589
2663524285.7142801,35.932817189375001
2674951428.5714302,35.936146372459135
2686378571.4285698,35.963085969334124
2697805714.2857099,35.956799485299641
2709232857.1428599,35.92992753276809
2720660000.0,35.919218867040037
2732087142.8571401,35.949855600442774
2743514285.7142801,35.919817000651946
2754941428.5714302,35.90116897509084
2766368571.4285698,35.921781220677332
2777795714.2857099,35.920677467479095
2789222857.1428599,35.937053624440367
2800650000.0,35.948704081849058
2812077142.8571401,35.923873974495088
2823504285.7142801,35.933517442025817
2834931428.5714302,35.945765418316675
2846358571.4285698,35.910709081434348
2857785714.2857099,35.920066927328179
2869212857.1428599,35.908693824456499
2880640000.0,35.909682322341951
2892067142.8571401,35.926250765066101
2903494285.7142801,35.903867608707223
2914921428.5714302,35.892583472011346
2926348571.4285698,35.884591085389076
2937775714.2857099,35.872067117808051
2949202857.1428599,35.887100848772548
2960630000.0,35.85220327197726
2972057142.8571401,35.857618785727183
2983484285.7142801,35.841132461216255
2994911428.5714302,35.830649725272096
