19 November 2013
Frequency [Hz],V_Gain [dB],H_Gain [dB],V_AF [dB/m],H_AF [dB/m]
494850000.0,-0.89395271657514397,-0.41007732503786593,25.044809299620358,24.560933908083079
509500000.0,0.40131346375397275,0.28052843917379933,24.002955394119642,24.123740418699818
524150000.0,1.4542262362777811,0.2359774370374183,23.196270657398337,24.4145194566387
538800000.0,1.3466676917427813,-0.28172682144941669,23.543269140300893,25.171663653493091
553450000.0,1.9661711917522573,0.15449098116449433,23.156781734915228,24.968461945502991
568100000.0,1.729873308479001,-0.55014182786825261,23.620007568090884,25.900022704438136
582750000.0,2.213480171011176,1.0101654760559229,23.357550563865821,24.560865258821075
597400000.0,3.0705056675590265,4.0596234206832076,22.716183788827877,21.727066035703693
612050000.0,3.575529819375185,5.632899587562326,22.421593317080493,20.364223548893353
626700000.0,3.6352210773323983,6.1525828105900899,22.567357907691736,20.049996174434046
641350000.0,3.7158484463302899,5.7068212541858081,22.68743862618679,20.696465818331269
656000000.0,3.9903924245160125,5.1138446959794672,22.609069454021906,21.485617182558453
670650000.0,4.1009389912679435,4.3897975046275706,22.690364678231031,22.401506164871403
685300000.0,4.1131760145125433,4.0875783302240611,22.865823712860063,22.891421397148545
699950000.0,4.1373388980452876,3.003253711190101,23.025386550417192,24.15947173727238
714600000.0,4.9892149744169521,2.2329804865772833,22.353430353936183,25.109664841775853
729250000.0,5.0804501255137708,2.3567947281062454,22.438463721386348,25.162119118793875
743900000.0,4.8102616622396956,3.4429176139887616,22.881414602952653,24.248758651203591
758550000.0,4.8295131122203045,5.0321831217166295,23.031556232568924,22.828886223072598
773200000.0,4.9784764843962623,6.4951492154794348,23.04874551375876,21.532072782675584
787850000.0,5.0008098631587963,7.6220232638129293,23.189446014881831,20.568232614227696
802500000.0,4.9534202894738559,7.7987136424191261,23.396865623089052,20.55157227014378
817150000.0,5.0511902789940848,7.2851555945693587,23.456230512882858,21.222265197307586
831800000.0,5.9436326655781428,6.443844859062863,22.718130746024869,22.217918552540148
846450000.0,5.8830549621627917,5.9254642465495078,22.930356315376375,22.887947030989654
861100000.0,6.0281270375672662,5.4228566021941838,22.934329838078749,23.539600273451828
875750000.0,5.6521946549904474,4.4762493409539763,23.456793355828864,24.632738669865336
890400000.0,5.8211044856779885,4.0850590162771772,23.431983631879763,25.168029101280574
905050000.0,6.141578692177017,4.2024611118445661,23.253257853101221,25.192375433433671
919700000.0,6.5764658654195802,4.6754374754724015,22.957842955302002,24.858871345249177
934350000.0,6.231239865339707,5.996831592747343,23.440337024281451,23.674745296873816
949000000.0,6.6092551563489206,7.0113653262394031,23.197454183221645,22.795344013331164
963650000.0,6.5500370431801596,8.1673727920726868,23.389734562638409,21.77239881374588
978300000.0,6.0480667949431544,8.9139283717148476,24.022759366593949,21.156897789822256
992950000.0,5.9725974134895061,8.7549207464028314,24.227335280457766,21.445011947544437
1007600000.0,6.1631315130202324,8.3051227495581337,24.164016754525989,22.022025517988091
1022250000.0,6.5551577842932254,7.589262091259882,23.897369691258959,22.863265384292305
1036900000.0,6.8486326273250651,6.1920999130107326,23.727489953248654,24.384022667562984
1051550000.0,7.195378776400231,4.9209240573896924,23.502604869010071,25.777059588020606
1066200000.0,7.0617083563366716,4.0153614632829484,23.756450298466948,26.802797191520668
1080850000.0,7.0307266455535959,3.6315578512810842,23.905966983326969,27.305135777599485
1095500000.0,7.1666096190481507,4.7238999689902226,23.887023109911041,26.329732759968969
1110150000.0,7.252476165955736,6.7934550022567102,23.916542190370574,24.375563354069598
1124800000.0,7.2233421303273095,8.6619140483293915,24.059549114212381,22.620977196210298
1139450000.0,6.813305894301779,9.6720988136498782,24.581984651455944,21.723191732107843
1154100000.0,6.5836753662203895,9.6485231501804041,24.922578545333884,21.857730761373869
1168750000.0,6.70127605408815,9.3034048933575804,24.914541514548048,22.312412675278619
1183400000.0,7.0431111807906301,8.4637579299193675,24.680905209053947,23.260258459925211
1198050000.0,7.1558003736324727,7.4519366381708272,24.675083587155292,24.378947322616938
1212700000.0,7.3935961479053169,6.5505806819605255,24.542856494519615,25.38587196046441
1227350000.0,7.6773996489429894,5.641338698035713,24.363353980948762,26.399414931856036
1242000000.0,7.8218117528308824,4.9130053848400044,24.32200525500506,27.230811622995937
1256650000.0,7.7651721870288979,4.5893533777721629,24.4804996154792,27.656318424735936
1271300000.0,7.8261314335344734,5.2021341033941795,24.520214597299127,27.144211927439418
1285950000.0,7.429906916172909,6.8851239953552952,25.015959830500115,25.560742751317726
